project	customer_id	delivery	folder_name	images
Agoda Bali	252361	https://drive.google.com/drive/folders/0B1H-4CqQJz7aMTRvd1BEb2JBUlU	252361	48
Agoda Bali	252362	https://drive.google.com/drive/folders/0BzVECRdNByQAZXo3LXZpcE1KLU0	252362	56
Agoda Bali	2537	https://drive.google.com/drive/folders/0BzVECRdNByQAOGZwU0NSZDk3Z1k	2537	91
Agoda Bali	254025	https://drive.google.com/drive/folders/0BzVECRdNByQAbWFuMlBpRUNHOEE	254025	51
Agoda Bali	255064	https://drive.google.com/drive/folders/0BzVECRdNByQARktTMFFRZ0tyYmM	255064	46
Agoda Bali	255133	https://drive.google.com/drive/folders/0B2QYuPa8WdDsXzZWNmhCcHVNZDQ	255133 	54
Agoda Bali	255344	https://drive.google.com/drive/folders/0BwrdIL719n7wc3lBNGN1WXBkb1k	255344	79
Agoda Bali	255477	https://drive.google.com/drive/folders/0B1H-4CqQJz7aZ0drUXFSdXJ1eWM	255477	58
Agoda Bali	255521	https://drive.google.com/drive/folders/0B6I0mAjGkrndYUFiLWhDMFpHckU	originals	59
Agoda Bali	255629	https://drive.google.com/drive/folders/0BzVECRdNByQAVlk5OGQ4LWVUbU0	255629	56
Agoda Bali	255642	https://drive.google.com/drive/folders/0B2QYuPa8WdDsSHVnZWZCdHdZTTQ	255642	44
Agoda Bali	255986	https://drive.google.com/drive/folders/0B1H-4CqQJz7aMGt3QUM0bEhVLWM	255986	26
Agoda Bali	256725	https://drive.google.com/drive/folders/0B2QYuPa8WdDsMUI2bkdlWEw5eG8	256725	66
Agoda Bali	256918	https://drive.google.com/drive/folders/0BwrdIL719n7wNDdsZC1VQUcxcmc	256918	56
Agoda Bali	260128	https://drive.google.com/drive/folders/0BzVECRdNByQASjdxdjd4VDdiNlU	originals	63
Agoda Bali	261488	https://drive.google.com/drive/folders/0BwrdIL719n7wWkpZT1hwM250Y0U	261488	38
Agoda Bali	262569	https://drive.google.com/drive/folders/0BwrdIL719n7wdFAzR2pmcTJtc2M	262569	35
Agoda Bali	262622	https://drive.google.com/drive/folders/0BzVECRdNByQATDEyRTVXdS03RmM	262622	51
Agoda Bali	262642	https://drive.google.com/drive/folders/0B6I0mAjGkrndUnluVkR4VFpyUDA	originals	41
Agoda Bali	262682	https://drive.google.com/drive/folders/0B2QYuPa8WdDsclZrN2x6QlI2cms	262682	56
Agoda Bali	262830	https://drive.google.com/drive/folders/0BwrdIL719n7wS1NyRHhycFJOQmc	262830	60
Agoda Bali	262837	https://drive.google.com/drive/folders/0B6I0mAjGkrnddzZuQ0V4UVlsUkE	originals	71
Agoda Bali	263041	https://drive.google.com/drive/folders/0B2QYuPa8WdDsdEQwX1NuWWl0Z3c	263041	63
Agoda Bali	263043	https://drive.google.com/drive/folders/0BzVECRdNByQAb2k0dUZyb2RrVDg	263043	51
Agoda Bali	263224	https://drive.google.com/drive/folders/0B2QYuPa8WdDscXpqZmpFNHNET00	263224 - PURI CENDANA RESORT	61
Agoda Bali	263281	https://drive.google.com/drive/folders/0B2QYuPa8WdDsVjFkNmFKQzNkX1U	263281	47
